Name,Date time,Temperature,Wind Chill,Heat Index,Chance Precipitation (%),Precipitation,Snow,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Hồ Chí Minh, Việt Nam",12/06/2020 08:00:00,25.6,,,0,0,0,0,7.6,10.1,24.1,0,65,Clear
"Hồ Chí Minh, Việt Nam",12/06/2020 09:00:00,27.1,,28.1,0,0,0,0,7.6,7.9,24.1,0,59.5,Clear
"Hồ Chí Minh, Việt Nam",12/06/2020 10:00:00,28.8,,29.9,0,0,0,0,7.6,7.6,24.1,0,54.5,Clear
"Hồ Chí Minh, Việt Nam",12/06/2020 11:00:00,30.3,,31.5,0,0,0,0,7.6,7.2,24.1,0,50.5,Clear
"Hồ Chí Minh, Việt Nam",12/06/2020 12:00:00,31.8,,33.2,0,0,0,0,6.5,6.1,24.1,0,46.7,Clear
"Hồ Chí Minh, Việt Nam",12/06/2020 13:00:00,32.7,,34.1,0,0,0,0,5.8,5.4,24.1,17,44,Clear
"Hồ Chí Minh, Việt Nam",12/06/2020 14:00:00,33,,34.4,4.8,0,0,0,4.7,4.3,24.1,100,43,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 15:00:00,32.5,,33.8,4.8,0,0,0,4,4.7,24.1,100,44.2,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 16:00:00,31.2,,33.2,4.8,0,0,0,7.9,6.8,24.1,100,51.7,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 17:00:00,28.1,,30.4,4.8,0,0,0,12.6,18.4,24.1,100,66.9,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 18:00:00,26.1,,,4.8,0,0,0,9.4,16.2,24.1,100,76,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 19:00:00,25.9,,,4.8,0,0,0,10.4,18.7,24.1,100,76.8,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 20:00:00,25.8,,,0,0,0,0,8.6,15.1,24.1,100,77.4,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 21:00:00,25.6,,,0,0,0,0,6.5,11.5,24.1,100,78.5,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 22:00:00,25.5,,,0,0,0,0,4.7,8.3,24.1,100,79.1,Overcast
"Hồ Chí Minh, Việt Nam",12/06/2020 23:00:00,25.2,,,0,0,0,0,5.8,8.6,24.1,100,80.5,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 00:00:00,25,,,0,0,0,0,4.3,7.2,24.1,100,81.6,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 01:00:00,24.8,,,0,0,0,0,4.3,6.8,24.1,98,82.4,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 02:00:00,24.7,,,0,0,0,0,4,6.5,24.1,100,82.9,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 03:00:00,24.5,,,0,0,0,0,2.2,4,24.1,100,83.4,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 04:00:00,24.5,,,0,0,0,0,2.2,4,24.1,99,82.6,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 05:00:00,24.5,,,0,0,0,0,3.2,5,24.1,99,82.1,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 06:00:00,24.6,,,0,0,0,0,5,7.2,24.1,99,80.5,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 07:00:00,25.1,,,0,0,0,0,6.1,10.8,24.1,99,77.6,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 08:00:00,26.4,,,0,0,0,0,5.8,7.6,24.1,100,71,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 09:00:00,27.1,,28.8,0,0,0,0,5,6.5,24.1,100,68,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 10:00:00,28.5,,30.5,0,0,0,0,6.8,7.2,24.1,100,62.7,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 11:00:00,30.5,,32.8,0,0,0,0,7.2,6.8,24.1,79,55.7,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 12:00:00,32.1,,34.6,0,0,0,0,6.5,6.1,24.1,65,50.5,Partially cloudy
"Hồ Chí Minh, Việt Nam",12/07/2020 13:00:00,32.7,,35.1,0,0,0,0,7.2,6.5,24.1,60,48,Partially cloudy
"Hồ Chí Minh, Việt Nam",12/07/2020 14:00:00,32.9,,35.1,33.2,0,0,0,8.6,8.3,24.1,100,46.7,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 15:00:00,32.5,,34.6,33.2,0,0,0,10.1,8.6,24.1,100,47.7,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 16:00:00,30.9,,33.4,33.2,0.4,0,0,6.8,8.6,24.1,100,55.2,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 17:00:00,28.3,,30.9,33.2,0.9,0,0,6.5,10.4,24.1,100,68.1,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 18:00:00,26.5,,,33.2,0.2,0,0,9.7,16.6,24.1,100,78,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 19:00:00,25.9,,,33.2,0,0,0,7.6,14.8,24.1,100,82.9,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 20:00:00,25.8,,,19,0,0,0,6.5,11.2,24.1,100,83.9,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 21:00:00,25.7,,,19,0,0,0,6.1,10.4,24.1,100,85.1,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 22:00:00,25.4,,,19,0,0,0,5,8.6,24.1,100,86.3,Overcast
"Hồ Chí Minh, Việt Nam",12/07/2020 23:00:00,25.2,,,19,0,0,0,3.6,6.1,24.1,100,87,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 00:00:00,25.1,,,19,0,0,0,1.8,2.9,24.1,98,86.9,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 01:00:00,25,,,19,0,0,0,1.4,2.9,24.1,98,86.4,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 02:00:00,24.9,,,9.5,0,0,0,4.3,7.2,24.1,100,85.5,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 03:00:00,24.7,,,9.5,0,0,0,6.8,10.4,24.1,100,84.4,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 04:00:00,24.4,,,9.5,0,0,0,6.8,10.8,24.1,96,83.4,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 05:00:00,24.1,,,9.5,0,0,0,6.5,10.4,24.1,96,82.1,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 06:00:00,23.9,,,9.5,0,0,0,5.4,7.6,24.1,89,80.6,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 07:00:00,24.9,,,9.5,0,0,0,5.8,10.1,24.1,80,76.6,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 08:00:00,26.5,,,4.8,0,0,0,6.1,9.7,24.1,17,69,Clear
"Hồ Chí Minh, Việt Nam",12/08/2020 09:00:00,28.4,,30.2,4.8,0,0,0,6.1,7.9,24.1,9,61.4,Clear
"Hồ Chí Minh, Việt Nam",12/08/2020 10:00:00,30.3,,32.2,4.8,0,0,0,6.1,6.5,24.1,6,54.5,Clear
"Hồ Chí Minh, Việt Nam",12/08/2020 11:00:00,32,,34.3,4.8,0,0,0,5.8,5.4,24.1,5,50,Clear
"Hồ Chí Minh, Việt Nam",12/08/2020 12:00:00,32.4,,34.6,4.8,0,0,0,8.3,7.6,24.1,3,48.2,Clear
"Hồ Chí Minh, Việt Nam",12/08/2020 13:00:00,32.9,,35.2,4.8,0,0,0,9,7.9,24.1,3,47,Clear
"Hồ Chí Minh, Việt Nam",12/08/2020 14:00:00,32.7,,34.9,38,0,0,0,9,8.6,24.1,97,47.5,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 15:00:00,32.2,,34.8,38,0.1,0,0,8.3,9.7,24.1,99,50.5,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 16:00:00,31.1,,34,38,0.2,0,0,6.8,13.7,24.1,99,56,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 17:00:00,29.4,,32.4,38,0.6,0,0,4.7,11.5,13.7,99,64.5,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 18:00:00,27.6,,30.1,38,0.4,0,0,6.5,12.2,13.5,99,72.5,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 19:00:00,26.7,,,38,0.3,0,0,6.1,14,24.1,100,78,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 20:00:00,26,,,9.5,0,0,0,3.6,10.8,24.1,100,82,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 21:00:00,25.5,,,9.5,0,0,0,6.8,14.4,24.1,100,85.4,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 22:00:00,25,,,9.5,0,0,0,8.6,16.9,24.1,100,87.6,Overcast
"Hồ Chí Minh, Việt Nam",12/08/2020 23:00:00,24.8,,,9.5,0.1,0,0,7.2,14.4,24.1,100,88.3,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 00:00:00,24.8,,,9.5,0,0,0,5.4,11.5,24.1,100,88,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 01:00:00,24.7,,,9.5,0,0,0,6.1,12.2,24.1,97,88.5,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 02:00:00,24.6,,,0,0,0,0,6.1,13.3,24.1,70,88.4,Partially cloudy
"Hồ Chí Minh, Việt Nam",12/09/2020 03:00:00,24.3,,,0,0,0,0,4.7,10.1,24.1,78,88.5,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 04:00:00,24.2,,,0,0,0,0,1.1,3.2,24.1,85,88,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 05:00:00,24.3,,,0,0,0,0,2.2,3.2,24.1,89,88,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 06:00:00,24.3,,,0,0,0,0,3.6,5.8,24.1,91,88.3,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 07:00:00,25.1,,,0,0.1,0,0,4.7,7.6,24.1,92,85.8,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 08:00:00,26.9,,29.2,9.5,0,0,0,3.2,4.3,24.1,100,77,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 09:00:00,28.5,,31.5,9.5,0,0,0,5.4,6.8,24.1,94,69.4,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 10:00:00,28.9,,31.7,9.5,0,0,0,8.6,9.7,24.1,92,66.1,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 11:00:00,27.5,,29.9,9.5,0,0,0,9.4,11.2,23.5,94,72,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 12:00:00,28.1,,30.7,9.5,0,0,0,6.1,9.4,24.1,96,69.5,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 13:00:00,27.8,,30.1,9.5,0.1,0,0,6.5,7.9,24.1,96,69.6,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 14:00:00,27.1,,29,42.9,0,0,0,12.2,14.8,24.1,100,70.5,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 15:00:00,26.9,,28.4,42.9,0,0,0,11.5,19.8,24.1,100,67.8,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 16:00:00,27.3,,28.9,42.9,0,0,0,9.7,19.1,24.1,100,65.5,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 17:00:00,26.4,,,42.9,0,0,0,13,27.4,24.1,100,68,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 18:00:00,25.7,,,42.9,0,0,0,13,27.7,24.1,100,70.6,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 19:00:00,25.2,,,42.9,0,0,0,10.1,22.3,24.1,100,74.5,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 20:00:00,25.1,,,19,0,0,0,9.7,19.4,24.1,100,74.5,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 21:00:00,25,,,19,0,0,0,9.4,19.1,24.1,100,72.9,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 22:00:00,24.7,,,19,0,0,0,9,18.4,24.1,97,73.8,Overcast
"Hồ Chí Minh, Việt Nam",12/09/2020 23:00:00,24.3,,,19,0,0,0,7.6,14,24.1,83,75,Overcast
"Hồ Chí Minh, Việt Nam",12/10/2020 00:00:00,24.3,,,19,0,0,0,6.1,10.8,24.1,79,75,Overcast
"Hồ Chí Minh, Việt Nam",12/10/2020 01:00:00,24.3,,,19,0,0,0,5,9.4,24.1,82,75.8,Overcast
"Hồ Chí Minh, Việt Nam",12/10/2020 02:00:00,24.2,,,28.6,0,0,0,4.7,7.9,24.1,100,77.5,Overcast
"Hồ Chí Minh, Việt Nam",12/10/2020 03:00:00,23.9,,,28.6,0,0,0,4.7,6.5,24.1,100,79.8,Overcast
"Hồ Chí Minh, Việt Nam",12/10/2020 04:00:00,23.7,,,28.6,0,0,0,5.8,8.6,24.1,100,81.4,Overcast
"Hồ Chí Minh, Việt Nam",12/10/2020 05:00:00,23.5,,,28.6,0,0,0,6.1,10.4,24.1,87,83,Overcast
"Hồ Chí Minh, Việt Nam",12/10/2020 06:00:00,23.4,,,28.6,0,0,0,6.1,10.4,24.1,89,84,Overcast
"Hồ Chí Minh, Việt Nam",12/10/2020 07:00:00,24.4,,,28.6,0,0,0,6.5,11.5,24.1,92,81.3,Overcast
"Hồ Chí Minh, Việt Nam",12/10/2020 08:00:00,25.6,,,28.6,0,0,0,7.2,11.9,24.1,100,76.4,Overcast
"Hồ Chí Minh, Việt Nam",12/10/2020 09:00:00,26.9,,28.7,28.6,0,0,0,7.6,10.1,24.1,100,70.9,Overcast
"Hồ Chí Minh, Việt Nam",12/10/2020 10:00:00,29,,31.4,28.6,0,0,0,6.8,7.2,24.1,100,62.9,Overcast
"Hồ Chí Minh, Việt Nam",12/10/2020 11:00:00,31,,33.8,28.6,0.1,0,0,6.1,5.8,24.1,85,56.2,Overcast
"Hồ Chí Minh, Việt Nam",12/10/2020 12:00:00,32.2,,35.3,28.6,0,0,0,3.6,6.1,24.1,82,52.7,Overcast
"Hồ Chí Minh, Việt Nam",12/10/2020 13:00:00,33.2,,36.7,28.6,0.1,0,0,1.4,3.6,24.1,76,50.4,Overcast
"Hồ Chí Minh, Việt Nam",12/10/2020 14:00:00,32,,35.1,52.4,0.2,0,0,1.1,3.2,19.6,88,53.5,"Rain, Overcast"
"Hồ Chí Minh, Việt Nam",12/10/2020 15:00:00,30.4,,34.1,52.4,0.5,0,0,4.3,6.5,17.5,90,62.5,"Rain, Overcast"
"Hồ Chí Minh, Việt Nam",12/10/2020 16:00:00,28.7,,32.1,52.4,1,0,0,7.6,11.9,11.8,93,70.9,"Rain, Overcast"
"Hồ Chí Minh, Việt Nam",12/10/2020 17:00:00,27.9,,31,52.4,1,0,0,7.6,13,13.7,95,75,"Rain, Overcast"
"Hồ Chí Minh, Việt Nam",12/10/2020 18:00:00,26.8,,29.1,52.4,1,0,0,7.9,13.7,18.8,80,78.3,"Rain, Overcast"
"Hồ Chí Minh, Việt Nam",12/10/2020 19:00:00,26.2,,,52.4,0.7,0,0,8.3,14,23.6,66,80.4,"Rain, Partially cloudy"
"Hồ Chí Minh, Việt Nam",12/10/2020 20:00:00,25.8,,,47.5,0.1,0,0,7.2,11.5,24.1,5,81.1,Clear
"Hồ Chí Minh, Việt Nam",12/10/2020 21:00:00,25.6,,,47.5,0,0,0,6.5,10.4,24.1,9,81.6,Clear
"Hồ Chí Minh, Việt Nam",12/10/2020 22:00:00,25.4,,,47.5,0,0,0,6.1,10.1,24.1,18,82.6,Clear
"Hồ Chí Minh, Việt Nam",12/10/2020 23:00:00,25.1,,,47.5,0,0,0,6.1,10.1,24.1,20,84.3,Clear
"Hồ Chí Minh, Việt Nam",12/11/2020 00:00:00,24.8,,,47.5,0,0,0,6.1,9.7,24.1,23,85.5,Clear
"Hồ Chí Minh, Việt Nam",12/11/2020 01:00:00,24.6,,,47.5,0,0,0,5.8,9,24.1,20,86.8,Clear
"Hồ Chí Minh, Việt Nam",12/11/2020 02:00:00,24.4,,,14.3,0,0,0,4.1,6.5,24.1,16,87.5,Clear
"Hồ Chí Minh, Việt Nam",12/11/2020 03:00:00,24.2,,,14.3,0,0,0,2.4,4,24.1,12,88.3,Clear
"Hồ Chí Minh, Việt Nam",12/11/2020 04:00:00,24.1,,,14.3,0,0,0,0.7,1.4,24.1,8,89,Clear
"Hồ Chí Minh, Việt Nam",12/11/2020 05:00:00,24.3,,,14.3,0,0,0,1.4,2.9,24.1,8,88.2,Clear
"Hồ Chí Minh, Việt Nam",12/11/2020 06:00:00,24.5,,,14.3,0,0,0,2.2,4.3,24.1,8,87.3,Clear
"Hồ Chí Minh, Việt Nam",12/11/2020 07:00:00,24.8,,,14.3,0,0,0,2.9,5.8,24.1,8,86.5,Clear
"Hồ Chí Minh, Việt Nam",12/11/2020 08:00:00,26.5,,,9.5,0,0,0,4,6.4,24.1,10.3,78.5,Clear
"Hồ Chí Minh, Việt Nam",12/11/2020 09:00:00,28.3,,31.3,9.5,0,0,0,5,7,24.1,12.7,70.5,Clear
"Hồ Chí Minh, Việt Nam",12/11/2020 10:00:00,30.1,,33.4,9.5,0,0,0,6.1,7.6,24.1,15,62.5,Clear
"Hồ Chí Minh, Việt Nam",12/11/2020 11:00:00,30.9,,34.3,9.5,0.1,0,0,6.6,7.8,23.6,14.7,58.7,Clear
"Hồ Chí Minh, Việt Nam",12/11/2020 12:00:00,31.8,,35.2,9.5,0.2,0,0,7.1,8,23.2,14.3,54.8,Clear
"Hồ Chí Minh, Việt Nam",12/11/2020 13:00:00,32.7,,35.9,9.5,0.3,0,0,7.6,8.3,22.7,14,51,Clear
"Hồ Chí Minh, Việt Nam",12/11/2020 14:00:00,31.7,,35.4,71.4,1.57,0,0,7.8,8.5,17,37.7,56.5,"Rain, Partially cloudy"
"Hồ Chí Minh, Việt Nam",12/11/2020 15:00:00,30.7,,34.7,71.4,2.83,0,0,8,8.8,11.4,61.3,61.9,"Rain, Partially cloudy"
"Hồ Chí Minh, Việt Nam",12/11/2020 16:00:00,29.8,,33.9,71.4,4.1,0,0,8.3,9,5.7,85,67.4,"Rain, Overcast"
"Hồ Chí Minh, Việt Nam",12/11/2020 17:00:00,28.7,,32.2,71.4,3.67,0,0,7.9,9.8,11.8,81,71.3,"Rain, Overcast"
"Hồ Chí Minh, Việt Nam",12/11/2020 18:00:00,27.6,,30.4,71.4,3.23,0,0,7.6,10.7,18,77,75.2,"Rain, Overcast"
